Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AtduOZqYmWHFVRIgzK,01/05/2025,07:14:00,Pot transfer,1p Saving Challenge Pot,,Savings,-1.02,GBP,-1.02,GBP,Day 102 of 365,,,,,-1.02,
tx_0000AtfyETZ64PsCEm6BRy,02/05/2025,07:06:25,Pot transfer,1p Saving Challenge Pot,,Savings,-1.03,GBP,-1.03,GBP,Day 103 of 365,,,,,-1.03,
tx_0000Ati1ZDVfe9uYFzScin,03/05/2025,06:53:12,Pot transfer,1p Saving Challenge Pot,,Savings,-1.04,GBP,-1.04,GBP,Day 104 of 365,,,,,-1.04,
tx_0000AtiCYbpCrCXX8ozuwT,03/05/2025,08:56:21,Card payment,Greggs,🥖,Eating out,-2.00,GBP,-2.00,GBP,,36 Coombe Lane,,GREGGS                 RAYNES PK     GBR,,-2.00,
tx_0000AtiMXeRWdYkQFMcHav,03/05/2025,10:48:13,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Friday, 2 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AtibfpUYwJDPZCgnIH,03/05/2025,13:37:46,Faster payment,FERREIRA MDSR,,Income,10.00,GBP,10.00,GBP,SPENDING MONEY,,,SPENDING MONEY,,,10.00
tx_0000Atk6xG7aTbjXUGCOfK,04/05/2025,07:02:59,Pot transfer,1p Saving Challenge Pot,,Savings,-1.05,GBP,-1.05,GBP,Day 105 of 365,,,,,-1.05,
tx_0000AtmBSOhLQWdo92fwkz,05/05/2025,07:02:52,Pot transfer,1p Saving Challenge Pot,,Savings,-1.06,GBP,-1.06,GBP,Day 106 of 365,,,,,-1.06,
tx_0000AtmHTlWQeWqtYZ8Bcn,05/05/2025,08:10:20,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Sunday, 4 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AtoEqmd0nLVP2iLLfe,06/05/2025,06:50:18,Pot transfer,1p Saving Challenge Pot,,Savings,-1.07,GBP,-1.07,GBP,Day 107 of 365,,,,,-1.07,
tx_0000AtqLE3ZkwGGaaQ7W2T,07/05/2025,07:11:10,Pot transfer,1p Saving Challenge Pot,,Savings,-1.08,GBP,-1.08,GBP,Day 108 of 365,,,,,-1.08,
tx_0000AtsP0nn16lTSBc0PGz,08/05/2025,07:03:01,Pot transfer,1p Saving Challenge Pot,,Savings,-1.09,GBP,-1.09,GBP,Day 109 of 365,,,,,-1.09,
tx_0000AtuovX2uv2BS7SHmxW,09/05/2025,11:02:46,Faster payment,Marina de Ferreira,,Transfers,50.00,GBP,50.00,GBP,MARINA DE FERREIRA,,,MARINA DE FERREIRA,,,50.00
tx_0000Atup8VbnZffwwaIK9J,09/05/2025,11:05:09,Monzo-to-Monzo,Marina Roque & Martin Harvey,,Transfers,-20.00,GBP,-20.00,GBP,,,,,,-20.00,
tx_0000AturJA34H5tmmSJfZy,09/05/2025,11:29:30,Card payment,McDonald’s,🍔,Eating out,-1.79,GBP,-1.79,GBP,,Victoria Station,,MCDONALDS              WESTMINSTER   GBR,,-1.79,
tx_0000AtuwQc9efrrCV7UtbH,09/05/2025,12:26:52,Card payment,Soul + Grain,🍴,Eating out,-4.70,GBP,-4.70,GBP,,London Victoria Station,,VICTORIA SOUL & GRAIN  LONDON        GBR,,-4.70,
tx_0000AtuzAOAfCJvM2TRh2X,09/05/2025,12:57:33,Card payment,Greggs,🥖,Eating out,-5.00,GBP,-5.00,GBP,,36 Coombe Lane,,GREGGS                 RAYNES PK     GBR,,-5.00,
tx_0000AtvspKfKd8QzMulDHd,09/05/2025,23:21:13,Faster payment,T+L,,Income,90.00,GBP,90.00,GBP,BABYSITTING,,,BABYSITTING,,,90.00
tx_0000AtwYs8EfUu4PlFJ3Tt,10/05/2025,07:12:20,Pot transfer,1p Saving Challenge Pot,,Savings,-1.11,GBP,-1.11,GBP,Day 111 of 365,,,,,-1.11,
tx_0000Atwi1GYGqY3FJ92TXl,10/05/2025,08:54:50,Card payment,Ryanair,✈️,Holidays,-8.50,GBP,-8.50,GBP,,Airside Business Park,,Ryanair                London        GBR,,-8.50,
tx_0000AtxAeI04C1jmUoP9aD,10/05/2025,14:15:38,Card payment,M&S,🛍 ,Shopping,-5.25,GBP,-5.25,GBP,,Centre Court Shopping Centre,,MARKS&SPENCER PLC SA   WIMBLEDON     GBR,,-5.25,
tx_0000Atxt5LlcguFUkrQAjp,10/05/2025,22:33:33,Card payment,Uber,🚖,Transport,-10.27,GBP,-10.27,GBP,,Aldgate Tower First Floor,,UBR* PENDING.UBER.COM  London        GBR,,-10.27,
tx_0000Atxt78pLlwnltgjzEH,10/05/2025,22:33:52,Faster payment,THOMPSON EF,,Income,75.00,GBP,75.00,GBP,EVE,,,EVE,,,75.00
tx_0000AtyD0jKfeA3U16rVar,11/05/2025,02:16:48,Card payment,Transport for London,🚆,Transport,-9.70,GBP,-9.70,GBP,"Travel charge for Saturday, 10 May","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-9.70,
tx_0000Atyb8WqoKoQ2NJ931l,11/05/2025,06:47:08,Faster payment,MDSR Ferreira,,General,-75.00,GBP,-75.00,GBP,Open,,,Open,,-75.00,
tx_0000AtybB5XUKqpAMa0eiw,11/05/2025,06:47:36,Monzo-to-Monzo,Marina Roque & Martin Harvey,,Transfers,-20.00,GBP,-20.00,GBP,,,,,,-20.00,
tx_0000AtybrIwosBMFxhqh3h,11/05/2025,06:55:14,Card payment,Pret,☕,Eating out,-9.45,GBP,-9.45,GBP,,International Departure Lounge,,PRET A MANGER          Crawley       GBR,,-9.45,
tx_0000AtydYh37EuP3kGFt8k,11/05/2025,07:14:16,Pot transfer,1p Saving Challenge Pot,,Savings,-1.12,GBP,-1.12,GBP,Day 112 of 365,,,,,-1.12,
tx_0000AtyprQ4FnezPP0H7eT,11/05/2025,09:32:07,Card payment,Aircoach ,🚌,Transport,-11.89,GBP,-14.00,EUR,,Stockhole,,AIRCOACH EUR           DUBLIN        IRL,,-11.89,
